"quantity","estimate_stationary","std_error_stationary","estimate_free","std_error_free"
"entry_rate",0.0227236286145528,0.000455114198312535,0.0256256958599235,0.000536051629043922
"exit_rate",0.0246911194836028,0.000493410628663936,0.0214237996391502,0.000572437843499774
"initial_employment",NA,NA,0.476030278912248,0.000967398691689769
"steady_employment",0.47925233236527,0.0009194469310589,0.544653998690125,0.00631731422285766
"stationarity_gap",0,0,-0.0686237197778772,0.00654821863315841
"delta0",-3.06897774717311,0.0150279786081005,-3.06859916224255,0.0150183603878403
"delta_age",2.03649464927644,0.0324030687377547,2.03931096212322,0.0323413711542547
"delta_education",1.08195245599583,0.0252862655831132,1.08323448393538,0.0252468915963597
"delta_race",0.0821219449678988,0.0878635817836011,0.0907065437312468,0.0879776477174488
"delta_gender",1.49288826408695,0.0424155384006698,1.49493816658575,0.0423875604327746
"delta_two_inconsistencies",0.254194019058892,0.0512050584636519,0.252968211129171,0.0511448656517547
"delta_three_inconsistencies",-0.341962765160358,0.100954897342211,-0.342894272966596,0.101026984425947
"delta_four_inconsistencies",-0.35132665401033,0.533209729180901,-0.350906821929015,0.538500941889462
"pi_base",0.0222025925096348,0.000318843847496625,0.0222106262113906,0.000318749716621866
"pi_age",0.131301493563712,0.00286767268049675,0.131611062344942,0.00286600263774379
"age_effect",0.109098901054077,0.00286637234422209,0.109400436133551,0.00286464364457986
"pi_education",0.0602859639529538,0.00120698319058059,0.0603740604340835,0.00120615102163786
"education_effect",0.038083371443319,0.00120027644923896,0.0381634342226929,0.00119948425702924
"pi_race",0.0240116145166976,0.00199334685136391,0.0242173314575763,0.0020121417051534
"race_effect",0.00180902200706284,0.00200538959322687,0.00200670524618573,0.00202403785632821
"pi_gender",0.0856750098798044,0.00289143653881714,0.0858475569908116,0.00289411789936685
"gender_effect",0.0634724173701696,0.00288674318301531,0.063636930779421,0.00288940985765032
"pi_both",0.287668907323978,0.00473078113807335,0.288065973118546,0.00472548781174182
"pi_count_0",0.0222025925096348,0.000318843847496625,0.0222106262113906,0.000318749716622715
"pi_count_1",0.074065990812574,0.00108793671793063,0.0742096592196572,0.00108769406251381
"pi_count_2",0.286765459018742,0.00399475262016366,0.287187710809991,0.00399223345171726
"pi_count_3",0.374490236775389,0.00722727494296107,0.375053572866465,0.00722065169910915
"pi_count_4",0.390640998441104,0.0444654636869397,0.391962194200449,0.0445345184336664
"min_pi_survey_weighted",0.0222025925096348,0.000318843847496625,0.0222106262113906,0.000318749716621866
"median_pi_survey_weighted",0.0222025925096348,0.000318843847496625,0.0222106262113906,0.000318749716621866
"max_pi_survey_weighted",0.390640998441104,0.0444654636869397,0.391962194200449,0.0445345184336664
"mean_pi_unweighted",0.0346933396564552,0.000329441524257465,0.0347265263099731,0.000329370666617959
"mean_pi_survey_weighted",0.0337824553437678,0.000326873665328998,0.0338140796175257,0.00032680315415239
