"quantity","estimate_stationary","std_error_stationary","estimate_free","std_error_free"
"entry_rate",0.0227522376608089,0.000445129138359829,0.0257005504668051,0.000527158258434892
"exit_rate",0.0247309589951996,0.000482811160200896,0.0213993871089496,0.00056191370461439
"initial_employment",0.47916398353795,0.000919974475936939,0.47588238571131,0.000967321068076026
"steady_employment",0.47916398353795,0.000919974475936939,0.545659968773182,0.00627161746877763
"stationarity_gap",0,0,-0.0697775830618724,0.00650000142466418
"delta0",-3.1892759612828,0.0161593799797505,-3.18881152332704,0.0161475608015263
"delta_age",1.09039788626254,0.0557889347981438,1.08914469562856,0.0556927237300102
"delta_education",0.869479708939372,0.0349068467685466,0.869023740602847,0.0348409296042321
"delta_age_severe",1.32968786202176,0.0597042287439803,1.33291054527012,0.0596147696186439
"delta_education_severe",0.0825689020904213,0.0400937914124113,0.0846035592834352,0.040024752764842
"delta_B_not_C",0.351365955007947,0.0215084162191949,0.35162743880331,0.0214627831275877
"delta_A_not_B",0.833944978967973,0.0239205618630917,0.835822210138154,0.023871754798059
"pi_base",0.019785643880568,0.000307071857624615,0.0197944713434406,0.0003069785196582
"pi_age_mild",0.0546029570978254,0.00277169796999932,0.0545646039984016,0.00276537827669338
"pi_age_severe",0.158327152740587,0.00326574577282046,0.158590602424986,0.00326569477541854
"age_severity_effect",0.103724195642762,0.00390168432313274,0.104025998426584,0.0038982460824203
"pi_education_mild",0.0447483303659953,0.00150699636040191,0.0447486754491622,0.00150385987943043
"pi_education_severe",0.0482284580863366,0.00135160871090672,0.0483175638166833,0.00135136011785504
"education_severity_effect",0.00348012772034132,0.00167777469658357,0.00356888836752111,0.00167608461674585
"pi_both_mild",0.113143371542143,0.0058751488381057,0.113034445134099,0.00586016113550309
"pi_both_both_severe",0.272793821668367,0.0049711122967528,0.273291137877915,0.0049642956516962
"pi_B_not_C",0.0276548197631449,0.000559952427737141,0.0276737907675172,0.000559347189444541
"B_not_C_effect",0.00786917588257699,0.000528964575610674,0.00787931942407661,0.000528141787491637
"pi_A_not_B",0.04332148466108,0.000861200736156133,0.043414229513871,0.000861225745486045
"A_not_B_effect",0.0235358407805121,0.000844785440370849,0.0236197581704305,0.000844539709816731
"mean_pi_survey_weighted",0.0338000328983,0.000321383309553477,0.033834289792881,0.000321293663399305
