"quantity","estimate","std_error"
"entry_reliable",0.0227151200521985,0.000561149541890163
"exit_reliable",0.0168502107377104,0.00057409454730575
"initial_reliable",0.4831410425266,0.00114631500879358
"entry_unreliable",0.0441820276812853,0.00105396281291156
"exit_unreliable",0.0497151306463866,0.00123568423843495
"initial_unreliable",0.4597480218068,0.00180092737321597
"delta0",-3.09308273582605,0.0151324695323299
"delta_age",2.4874996220754,0.0257227989879693
"delta_education",0.971001618360565,0.0251694031990314
"pi_base",0.0216967443958988,0.00031407814231285
"pi_age",0.176533703273751,0.00270222344874175
"age_effect",0.154836958877852,0.00266443305188463
"pi_education",0.053484552749604,0.00115141652664473
"education_effect",0.0317878083537052,0.00111772504622293
"mean_pi_survey_weighted",0.0315662006772099,0.000327433750858954
