"quantity","estimate","se","model","group"
"entry",0.0461945161589243,0.000691398339751473,"baseline","C"
"exit",0.0590930266113384,0.000891945149101458,"baseline","C"
"pi",0.0249560164125039,0.000304683351636507,"baseline","C"
"entry",0.0461945161589243,0.000691398339751473,"baseline","B_not_C"
"exit",0.0590930266113384,0.000891945149101458,"baseline","B_not_C"
"pi",0.0249560164125039,0.000304683351636507,"baseline","B_not_C"
"entry",0.0461945161589243,0.000691398339751473,"baseline","A_not_B"
"exit",0.0590930266113384,0.000891945149101458,"baseline","A_not_B"
"pi",0.0249560164125039,0.000304683351636507,"baseline","A_not_B"
"entry",0.0359586559623645,0.000682611204274295,"transition","C"
"exit",0.0369330990570757,0.000824077033986834,"transition","C"
"pi",0.0200498845315133,0.000280656530830742,"transition","C"
"entry",0.0750205051765939,0.00136911850600338,"transition","B_not_C"
"exit",0.100287145812635,0.001734215335166,"transition","B_not_C"
"pi",0.0200498845315133,0.000280656530830742,"transition","B_not_C"
"entry",0.14286934306802,0.00273570922545089,"transition","A_not_B"
"exit",0.21307493276478,0.00340686022734244,"transition","A_not_B"
"pi",0.0200498845315133,0.000280656530830742,"transition","A_not_B"
"entry",0.0427366848764315,0.000662552254141266,"error","C"
"exit",0.05404919805854,0.000883470711089629,"error","C"
"pi",0.0157627675772986,0.000270631635321665,"error","C"
"entry",0.0427366848764315,0.000662552254141266,"error","B_not_C"
"exit",0.05404919805854,0.000883470711089629,"error","B_not_C"
"pi",0.0417586643905361,0.000596302139286464,"error","B_not_C"
"entry",0.0427366848764315,0.000662552254141266,"error","A_not_B"
"exit",0.05404919805854,0.000883470711089629,"error","A_not_B"
"pi",0.0863177687241808,0.00128577081297914,"error","A_not_B"
"entry",0.0398438067516555,0.000718927422529384,"both","C"
"exit",0.0426915060430276,0.0009052382368836,"both","C"
"pi",0.017036112188626,0.000284130189729768,"both","C"
"entry",0.0563530964998017,0.00156323863370461,"both","B_not_C"
"exit",0.0792670705243249,0.00194184052490796,"both","B_not_C"
"pi",0.0339220491339153,0.000752361039460336,"both","B_not_C"
"entry",0.0840740454200956,0.0043781035923048,"both","A_not_B"
"exit",0.151180880095982,0.00510755562318105,"both","A_not_B"
"pi",0.0582111472510169,0.00225045146136455,"both","A_not_B"
