"quantity","estimate","se","panel","model","target"
"entry",0.0949034288742339,0.000631977987332489,"A","none","Own sample"
"exit",0.112313007497946,0.000796854769038053,"A","none","Own sample"
"pi",NA,NA,"A","none","Own sample"
"initial_employment",0.479251263034109,0.000923477089403875,"A","none","Own sample"
"entry",0.0954649910921413,0.000638091635750574,"A","none","Panel C covariates"
"exit",0.111243757746729,0.000775365913844517,"A","none","Panel C covariates"
"pi",NA,NA,"A","none","Panel C covariates"
"initial_employment",0.479251263034109,0.000923477089403875,"A","none","Panel C covariates"
"entry",0.0463127549119915,0.000690118884681063,"A","symmetric","Own sample"
"exit",0.0591590059239413,0.000890775432104884,"A","symmetric","Own sample"
"pi",0.0248658339377695,0.000303521764484089,"A","symmetric","Own sample"
"initial_employment",0.478234259835732,0.000962173685155869,"A","symmetric","Own sample"
"entry",0.0465883267362061,0.000695734029022504,"A","symmetric","Panel C covariates"
"exit",0.0582778963858562,0.000867781095737349,"A","symmetric","Panel C covariates"
"pi",0.0248658339377695,0.000303521764484089,"A","symmetric","Panel C covariates"
"initial_employment",0.478234259835732,0.000962173685155869,"A","symmetric","Panel C covariates"
"entry",0.0876929428823429,0.000633002478398595,"B","none","Own sample"
"exit",0.101555117082276,0.000799390873207182,"B","none","Own sample"
"pi",NA,NA,"B","none","Own sample"
"initial_employment",0.479297882097795,0.000953969925393644,"B","none","Own sample"
"entry",0.0881477019754741,0.000640210463203809,"B","none","Panel C covariates"
"exit",0.100560530952972,0.000778530735997841,"B","none","Panel C covariates"
"pi",NA,NA,"B","none","Panel C covariates"
"initial_employment",0.479297882097795,0.000953969925393644,"B","none","Panel C covariates"
"entry",0.0440912923622954,0.000676929178593818,"B","symmetric","Own sample"
"exit",0.0536446017721964,0.0008771523566031,"B","symmetric","Own sample"
"pi",0.0218564997818932,0.000286389576590269,"B","symmetric","Own sample"
"initial_employment",0.478583472505047,0.00098789519657638,"B","symmetric","Own sample"
"entry",0.0442978584508603,0.000683441490917806,"B","symmetric","Panel C covariates"
"exit",0.0528540076190948,0.000854524380352274,"B","symmetric","Panel C covariates"
"pi",0.0218564997818932,0.000286389576590269,"B","symmetric","Panel C covariates"
"initial_employment",0.478583472505047,0.00098789519657638,"B","symmetric","Panel C covariates"
"entry",0.0770772135162031,0.000673160792886073,"C","none","Own sample"
"exit",0.0834708808443914,0.000820441380618279,"C","none","Own sample"
"pi",NA,NA,"C","none","Own sample"
"initial_employment",0.48940920728884,0.00105711601200503,"C","none","Own sample"
"entry",0.0770772135162031,0.000673160792886073,"C","none","Panel C covariates"
"exit",0.0834708808443914,0.000820441380618279,"C","none","Panel C covariates"
"pi",NA,NA,"C","none","Panel C covariates"
"initial_employment",0.48940920728884,0.00105711601200503,"C","none","Panel C covariates"
"entry",0.0404967970462087,0.000703799727510303,"C","symmetric","Own sample"
"exit",0.0451320258189463,0.000887098369747266,"C","symmetric","Own sample"
"pi",0.0174733542289171,0.00027739644021178,"C","symmetric","Own sample"
"initial_employment",0.489381497476062,0.00108568441286887,"C","symmetric","Own sample"
"entry",0.0404967970462087,0.000703799727510303,"C","symmetric","Panel C covariates"
"exit",0.0451320258189463,0.000887098369747266,"C","symmetric","Panel C covariates"
"pi",0.0174733542289171,0.00027739644021178,"C","symmetric","Panel C covariates"
"initial_employment",0.489381497476062,0.00108568441286887,"C","symmetric","Panel C covariates"
