"direction","model","conditioning","classification_only","true_reversal","true_persistent"
"All apparent transitions","Table 1 col 1: raw/no error","pair_only",0,0.0840993662331884,0.915900633766812
"Apparent entries","Table 1 col 1: raw/no error","pair_only",0,0.0853959109532038,0.914604089046796
"Apparent exits","Table 1 col 1: raw/no error","pair_only",0,0.0827986125229129,0.917201387477087
"All apparent transitions","Table 1 col 2: symmetric error","pair_only",0.669737096924086,0.00973157430599793,0.320531328769916
"Apparent entries","Table 1 col 2: symmetric error","pair_only",0.660035606580965,0.00990636370360518,0.33005802971543
"Apparent exits","Table 1 col 2: symmetric error","pair_only",0.679470081343527,0.00955621748725915,0.310973701169214
"All apparent transitions","Table 4 col 4: Set 2, constant error","pair_only",0.430102223611596,0.0652555374612565,0.504642238927147
"Apparent entries","Table 4 col 4: Set 2, constant error","pair_only",0.437826889989542,0.0671195748699424,0.495053535140515
"Apparent exits","Table 4 col 4: Set 2, constant error","pair_only",0.422330166016427,0.0633800640892003,0.514289769894372
"All apparent transitions","Table 4 col 5: Set 2, reliability error","pair_only",0.493794187262335,0.0607552475507876,0.445450565186877
"Apparent entries","Table 4 col 5: Set 2, reliability error","pair_only",0.476946174026698,0.0640531906293396,0.459000635343963
"Apparent exits","Table 4 col 5: Set 2, reliability error","pair_only",0.510745563907595,0.057437071425373,0.431817364667032
"All apparent transitions","Table 7 col 4: independent duration error","full_duration_posterior",0.507881826305816,0.041900895902586,0.450217277791598
"Apparent entries","Table 7 col 4: independent duration error","full_duration_posterior",0.519047491549855,0.0320992597644199,0.448853248685725
"Apparent exits","Table 7 col 4: independent duration error","full_duration_posterior",0.496679913815126,0.0517343512216895,0.451585734963185
"All apparent transitions","Table 5 col 2: AR(2)","pair_only",0.221206793621439,0.242867418191907,0.535925788186654
"Apparent entries","Table 5 col 2: AR(2)","pair_only",0.21792660457941,0.24710964826547,0.53496374715512
"Apparent exits","Table 5 col 2: AR(2)","pair_only",0.224611748655669,0.238463829721771,0.536924421622559
"All apparent transitions","Table 5 col 6: AR(2), reliability error","pair_only",0.384831615557861,0.180324954992051,0.434843429450087
"Apparent entries","Table 5 col 6: AR(2), reliability error","pair_only",0.362729560951376,0.190089011965997,0.447181427082627
"Apparent exits","Table 5 col 6: AR(2), reliability error","pair_only",0.407787715633044,0.170183605102892,0.422028679264065
"All apparent transitions","Table 6 cols 3/4: FMM, common error","pair_only",0.315441978414552,0.196343044162411,0.488214977423037
"Apparent entries","Table 6 cols 3/4: FMM, common error","pair_only",0.310325320560447,0.202180822134766,0.487493857304787
"Apparent exits","Table 6 cols 3/4: FMM, common error","pair_only",0.32075634903939,0.190279688617594,0.488963962343015
"All apparent transitions","Table 6 cols 7/8: FMM, type error","pair_only",0.274512897131264,0.18675081065073,0.538736292218006
"Apparent entries","Table 6 cols 7/8: FMM, type error","pair_only",0.274419004483149,0.191877594831383,0.533703400685468
"Apparent exits","Table 6 cols 7/8: FMM, type error","pair_only",0.274610417885096,0.181425922407968,0.543963659706936
"All apparent transitions","Table 9 col 1: duration AR(1)","full_duration_posterior",0.563923606556348,0.0602261748180152,0.375850218625637
"Apparent entries","Table 9 col 1: duration AR(1)","full_duration_posterior",0.61713529072897,0.0648188163643199,0.31804589290671
"Apparent exits","Table 9 col 1: duration AR(1)","full_duration_posterior",0.508614410702489,0.0554524993608151,0.435933089936695
"All apparent transitions","Table 9 col 2: duration AR(2)","full_duration_posterior",0.508109693340332,0.120779378083391,0.371110928576277
"Apparent entries","Table 9 col 2: duration AR(2)","full_duration_posterior",0.557448411412961,0.140020229883045,0.302531358703994
"Apparent exits","Table 9 col 2: duration AR(2)","full_duration_posterior",0.45682612914784,0.100780085500774,0.442393785351386
