"measure","AR1","AR2"
"Entry rate",0.0269270881556435,0.0320625575093647
"Exit rate",0.040918419618574,0.0477512754855669
"Misclassification rate",0.0264573538105277,0.0244141606832667
"Initial employment rate",0.491080035129217,0.491020140658709
"Entry after a recent exit",0.0608463417037411,0.184598305723403
"Entry after continued nonemployment",0.0254728462447265,0.026765554590296
"Exit after a recent entry",0.0585952135331192,0.292915258596874
"Exit after continued employment",0.0399701759754071,0.0398890231119462
"Log likelihood",-2894475.0504647,-2892278.64671939
"N",316889,316889
"Parameters",33,35
